來源網站,集團,品牌,標題,店家地址,評論標題,發布時間,文章內容,評分,Lat,Lon
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,朋友聚餐,2020/9/12,雖然有訂位但還是需要稍等一下，需要提醒一下服務人員，飯的肉燥與豬油很少，不夠拌飯，可以配泡菜，泡菜不錯，剝皮辣椒雞湯令人激賞，湯很好喝，有微微剝皮辣椒味又不會辣，推薦。牛排肉質OK，沾點醬與鹽還可以，另外同行友人點了櫻桃鴨腿，筋真的蠻多的，喜歡筋多的嚼勁可以嘗試。,4,25.0879576,121.4865522
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,用餐心得,2020/5/10,服務態度都很好，牛排也很好吃！只不過出餐速度稍微有點慢，飯都吃完了，菜過很久才送上來，建議送飯跟湯的時候菜可以順便一起送上來，這樣吃著配會比較對味,4,25.0879576,121.4865522
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,好吃,2019/10/20,王品旗下的鐵板燒評價不錯、上菜迅速人很多、但是服務人員保持親切！打卡還送萬聖節特製的銅鑼燒、看到小朋友都會主動詢問招待白飯飲料很貼心！,4,25.0879576,121.4865522
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,平價 很飽 鐵板燒,2018/12/27,一個套餐299加一成服務費，花旗饗樂卡還能免服務費，吃完很飽，而且這個價位它的食材跟細心度不錯，是推薦的平價鐵板燒,4,25.0879576,121.4865522
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,感覺不錯,2018/8/11,點一份主餐，搭配白飯、炒青菜、湯品、甜點，就是ㄧ份讓人有飽足感的餐點，白飯上頭還有塊蒲燒鯛魚，軟嫩美味。,4,25.0879576,121.4865522
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,餐點美味,2018/6/21,餐點美味，送餐速度快，服務人員態度親切、有熱忱、和藹可親，用餐環境舒適，很好吃，很棒，非常的值得推薦。,4,25.0879576,121.4865522
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,cp值不錯的鐵板燒,2018/3/19,王品旗下平價鐵板燒，主菜樣式不少，肉給的份量也不少。白飯可以續，小片的燒鰻魚也不錯吃，是會想回購的鐵板燒。另外，吃辣的人可以索取他們的辣醬還不錯。,4,25.0879576,121.4865522
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,實在很難讓人想來第二次的餐廳,2017/3/19,我個人覺得相當不好吃，從一開始生菜沙拉，裡面的玉米筍感覺冰了很久，再來套餐附的飯軟爛好難吃根本吃不下去，湯也不燙溫溫的，主菜也普通，雖然價位便宜但實在不想再來,3,25.0879576,121.4865522
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,"CP質高的鐵板燒餐廳,平價空間舒適.",2016/8/22,"很難訂位,若要去用餐一定要事先訂位,否則要花很多時間等就有些浪費時間,以這樣的價位食物的品質算還不錯,裝潢設計空間還算舒適.",4,25.0879576,121.4865522
Tripadvisor,王品,hot 7,蘆洲家樂福店,新北市三重區五華街282號4樓,對孩子很親切的餐廳,2016/6/21,帶寶貝去用餐，因為孩子未滿三歲所以和大人共食，結果飲料和甜品都有準備孩子的，孩子非常開心，餐點很好吃，份量也足夠，只是假日人多需先訂位！,5,25.0879576,121.4865522
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,平價的鐵板燒,2019/7/29,王品集團的另一個新品牌，在百貨公司裡相對價位也很合理，餐點蠻好吃，有多種套餐可以選擇，品質及服務也有一定水準，蠻值得來試試的。,4,22.6695926,120.302286
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,服務與食材有保障 ，整體用餐經驗佳,2019/3/28,CP值很高的鐵板燒餐廳，服務與食材有保障 ，少了油膩與煙味，喜歡主菜的香蒜炙燒牛排，是用澳洲原塊板腱牛肉，七分熟，搭配上蒜片或海鹽提味，入口後味道更好，整體用餐經驗佳,5,22.6695926,120.302286
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,物超所值,2019/2/6,春節在百貨公司2大2小點了3份主餐整個吃下來雖不到非常飽足，但也已經算足夠了，店家對沒點餐的孩子會主動詢問是否提供白飯及飲料，下次會再造訪,4,22.6695926,120.302286
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,不錯,2018/10/24,王品集團下面的平價鐵板燒料理提供非常多種的主菜可以選擇師父的功夫也都還不錯你可以依照你的喜好稍微做調整,4,22.6695926,120.302286
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,排隊的人潮很洶湧，但實際吃起來覺得有點過譽了。,2018/9/21,菜單很簡單，只有一頁，但以價位來說其實也想像得到。今天的菜是空心菜，菜看起來很新鮮但是煮出來就不是很好吃，主餐和友人點了雞腿和牛排，口味算是還行但好像沒有值得排隊。飲料和甜點跟王品其他品牌一脈相承非常普通，表現比較出色的反倒是另外加點的起司蛋燒。食材算是對得起他的價位，口味一般般，因為人潮很多的關係用餐環境也不是很好，總之...不是會讓人願意排隊吃的餐廳。更多,3,22.6695926,120.302286
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,用心的餐廳,2018/7/29,離家很近，常常是我們想要稍微幸福飽餐一頓的好選擇，各種肉類吃起來都很美味，另外單點的豆腐或蛋卷，也做得很成功。湯頭跟飯的品質也很優，真心推薦！,5,22.6695926,120.302286
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,好吃,2018/7/4,位在百貨公司內的鐵板燒餐廳，套餐方式供應，有小菜、飯、湯、飲料等，主菜選的是牛排，搭配蒜片很香脆好吃。,4,22.6695926,120.302286
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,剝皮辣椒雞湯 我喜歡！,2018/6/24,6月的湯品是剝皮辣椒雞湯，真的很好喝，滿滿的辣椒香，雞湯清澈味美，喜歡吃辣的朋友一定要試試。但不吃辣的朋友絕對無法接受，因為真的有辣！這次主餐選了山賊燒，好吃的牛肉，但要盡量早點吃完，因為鍋子的熱度會讓牛肉越來越老喔！,3,22.6695926,120.302286
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,平價的鐵板燒店,2018/4/11,平價的鐵板燒店。餐點的選擇不算太多，一張紙就是全部的餐點了。上菜的速度很快，服務還不錯。一個套餐吃下來前菜、主參加甜點也算很飽足了。是一間值得推薦的鐵板燒店。,4,22.6695926,120.302286
Tripadvisor,王品,hot 7,高雄漢神巨蛋店,高雄市左營區博愛二路777號4樓 漢神巨蛋購物廣場4樓,王品集團中價位的鐵板品牌,2018/3/19,HOT 7的菜單相當簡單，就是只有一張紙而已。品項單純所以上菜也很快，這次櫻桃鴨主菜的品質不錯，鴨肉軟硬度剛剛好，煙燻也很入味。炊飯不錯吃，但是對於愛吃飯的人兩口就沒了。,4,22.6695926,120.302286
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,CP值很高的鐵板燒,2019/12/28,這次在女兒建議下選擇了王品集團旗下的平價鐵板燒hot7新鐵板料理。一走進店裡，便有笑容滿面的服務人員上前招呼，映入眼簾的是舒適整潔的店內環境，點餐時服務人員親切地介紹每份餐點，臉上不忘掛著笑容。此次餐點選擇了和風牛筋清湯、香蒜炙燒牛排。整體餐點美味度皆不錯，價位合理CP值高，全家在歡樂中享受鐵板燒美食。,3,25.0483372,121.5338652
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,好吃,2019/6/1,Hot7是平價的鐵板燒餐廳、人潮洶湧、需要事前準備定位、不然現場等很久或是沒有位置、點好餐後上菜速度快，也很豐富,4,25.0483372,121.5338652
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,超值,2018/8/11,很有份量的餐點，這次選的是松阪豬排套餐，豬排煎的很美味，搭配蒜片很好吃，湯品內有菇類蔬菜，湯鮮味美。,4,25.0483372,121.5338652
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,這家很好吃,2018/5/23,cp值高的鐵板燒店，去了三次每次一個人約300元上下，很划算，但同行人多會被分配到餐桌，非鐵板區，很想嘗試在面前現煮現吃的滋味。燙青菜很鮮!,5,25.0483372,121.5338652
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,cp值高,2018/1/22,鐵板燒不錯，從前菜到甜點都有！還不錯！中間炒高麗普普而且不能選！希望店家能出多一點菜的巽擇吧！想吃空心菜,3,25.0483372,121.5338652
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,最愛的鐵板燒,2017/9/2,"價位平實, 再加上是以套餐型式呈現, 很有飽足感. 每個環節都很講_究, 再加上用餐環境明亮乾淨, 不會有讓人不舒服之油煙味, 讚!",5,25.0483372,121.5338652
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,王品集團平價鐵板燒,2016/8/12,該店是王品集團為吸引評價客源所推出的品牌，若是相較於夏慕尼，必定會有令人不滿意之處，包括食材、美味程度及服務，但這價位能品嚐到的美味，已是值回票價，若有朋友聚餐不想花大錢，可來此試試,4,25.0483372,121.5338652
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,平價精緻的鐵板燒,2015/9/1,偶然到訪這間餐廳，卻被他的美味吸引了~後來才知道原來這間是王品集團旗下新的平價鐵板燒，雖然他的裝潢、餐具擺設、餐點不像夏慕尼那樣豪華，但是餐點價位、品質、口味讓我感到驚艷，CP值很高阿~,5,25.0483372,121.5338652
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,hot7 適合聚餐的好去處,2015/4/6,久違的好友聚餐，我們選中了王品集團旗下的平價鐵板燒──hot7新鐵板料理。 hot7有個貼心的小地方，在店門口設置麥茶桶提供麥茶，讓在外頭候位的客人在等待之餘可以解解渴。一走進店裡，便有笑容滿面的服務人員上前招呼，映入眼簾的是舒適整潔的店內環境，座位分成鐵板區和一般座位，適逢中午用餐時段，顧客不少。此次我們有事先訂八人座位，本...以為會採併桌方式，沒想到給我們的是一間專屬包廂，讓我們能夠盡興享受難得的時光，倍感溫馨。 點餐時，服務人員親切地介紹每份餐點，臉上不忘掛著笑容。此次餐點選擇了：桔香青梅冰鑽、櫻花蝦鮮蔬沙拉、和風牛筋清湯、香蒜炙燒牛排、清炒高麗菜、蒲燒鯛魚蒸飯+黃金泡菜、芋泥銅鑼燒。整體餐點美味度皆不錯，價位合理，CP值高，且提供的服務周到又貼心。無論是單獨用餐或是聚餐，都是個適合的好去處。不過有個小建議，冰飲品可附上一個杯墊，不然一旦退冰容易造成桌上濕漉漉的，可能影響用餐流暢度。 由於許久不見，我們聊著聊著一不小心就忘了時間，準備離開時正巧是員工的休息時間，但是他們仍然帶著親切有禮的笑容向我們道別。值得一提的是hot7的廁所非常乾淨，廁所沒有異味，馬桶、垃圾桶外也沒有任何的穢物、衛生紙屑等，看起來會派人定時清潔。,4,25.0483372,121.5338652
Tripadvisor,王品,hot 7,新北長安店,台北市中山區長安東路二段78之2號,提前一個月訂位才搶的到!!!,2014/3/17,2013年7月開幕，因為是王品集團新的平價鐵板燒品牌，訂位實在是很困難，早上10點準時打電話搶一個月後的預約，打了好幾次終於成功了!!!點餐的方式是王品一貫的套餐式，在一定的框架內讓客人依喜好做不同的選擇。餐點和夏慕尼相比了話相對普通，但是很平價，服務還是一樣很好，是很划得來的聚餐地點。,4,25.0483372,121.5338652
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,王品旗下連鎖的鐵板燒餐廳,2019/3/21,王品旗下連鎖的鐵板燒餐廳，餐點與服務有一定的品質一人一套餐也很適合聚餐，推薦主餐香蒜炙燒牛排/香煎櫻桃鴨腿特別是牛排的部分，五分熟，搭配蒜片或海鹽提味，肉質不錯,4,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,份量十足,2018/12/24,鐵板燒料理的市場很競爭，有品牌及服務口啤的hot 7分店好多，價位中等且份量十足，餐點的服務很用心，還可以加飯不用錢，絕對會再光臨的。,4,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,餐點不到位,2018/10/4,點香煎櫻桃鴨腿的套餐  做為主食鴨腿  筋非常多又硬   肉非常柴又無味  真可說是不知如何下口   副食部份  飯粒也偏硬  偏鹹   整體來說只覺得品質差  不會再去,2,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,划算,2018/7/1,雖然是鐵板燒料理，但從飯、小菜、湯品、主菜、甜點等都不馬虎，還可以選擇自己喜歡的菜餚，主菜雞腿排軟嫩好吃。,4,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,高貴不貴的鐵板燒,2018/2/4,王品集團的平價鐵板燒，套餐一客300元有找，從前菜到最後的飲料，主餐可自己選擇，豬肉、牛肉都有，味道也不錯！推薦_,4,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,不油不膩的鐵板燒,2018/1/28,餐廳雖然賣的是鐵板燒，但是裡面並沒有太多擾人的油煙味，反而是很乾淨的空間。食物新鮮好吃，附餐的食物份量足夠。,4,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,平價美食,2015/10/18,主餐份量足，甜點有用心，湯頭香濃，沙拉應可給客人選醬汁，蒸飯聞起來香但入口沒什麼特別驚艷，加點的小卷鮮嫩脆口值得推薦,4,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,服務好有耐心,2015/10/10,服務人員很貼心，餐點也很好吃!只是外場等待的空間較小些，餐點精緻好吃，非常的有飽足感，當天還吃不完外帶呢！這是一次好的用餐經驗,5,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,好吃的hot 7,2015/10/6,外場服務人員都很親切、環境清潔很乾淨、上餐速度很快、菜色多樣化讓我們吃不膩整體用餐感覺很舒服_讚好吃的hot 7我們還會再去(*^_^*),5,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台北捷運景美店,台北市文山區景中街1號2樓,家庭聚會,2015/9/5,好吃又划算希望下次不要等太久！旁邊還有媽咪喜歡的蟬絲衣服媽咪很開心的挑很多件回家玩希望石二鍋能有促銷價,5,24.9931447,121.5414854
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,王品集團旗下的連鎖餐廳,2019/3/28,CP值很高的鐵板燒餐廳，是王品集團旗下的連鎖餐廳，喜歡主菜的香蒜炙燒牛排/黃金雞腿燒(碳燒風味)/牛肩胛里肌山賊燒，肉質不錯，師傅有一定的功力,4,24.9596912,121.2239689
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,好吃的鐵板燒,2018/7/23,"一家四口第一次到這家餐廳, 服務人員帶位到鐵板前, 小朋友可以看得到師傅煎東西, 點了三份不同套餐, 小朋友還有免費的飯和飲料, 前菜,湯和飯就可以吃飽, 牛排和豬排都覺得好吃, 餐後還有甜點, 師傅還特別送小朋友鬆餅, 心情愉悅的用餐時刻",5,24.9596912,121.2239689
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,好吃,2018/3/19,第一次拜訪中壢的Hot7 服務很好 上菜速度也很快  菜色也很不錯 蒜香鮮菇太淡不是很合胃口 清蒸蛤蜊 超鮮蛤蜊肉飽滿  值得,5,24.9596912,121.2239689
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,平價鐵板燒的好去處,2016/12/12,王品集團中，Hot7應該算是超平價，CP值很高，料理好吃不貴，尤其嫩煎豚五花的部份竟然比價格高的陶板屋還好吃，口感Q嫩有彈性。,5,24.9596912,121.2239689
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,感覺不好,2016/7/6,整體上不錯，只是冷氣不冷，不知是因為星期一沒什麼人關係還是空間太大，夏天吃鍋就是喜歡店家環境和食材才去消費，吃鍋吃到滿身大汗就很不舒服了，希望下次去不要再有這種感覺。謝謝,4,24.9596912,121.2239689
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,肉澎湃,2015/10/19,雪花牛肉太晚送來，導致有點噁心!肉的部分可以在厚實一點!湯頭好喝，當日選的是番茄鍋!肉澎湃可以多一到牛豬雙拼!多一種選擇!,4,24.9596912,121.2239689
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,好吃平價,2015/10/4,低油、低油_，讚啦！服務好、氣氛好！家庭、親朋好友聚會好所在！值得大大推薦、CP值超高的平價餐廳，期待下次再相逢，好吃不得了！,5,24.9596912,121.2239689
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,吃中餐,2015/9/29,"人太多，等太久了，服務太度還算不錯，如果可以外，的椅子可以多加幾張,所以讓我們等的腳好酸，這點下次希望妳們能改善",4,24.9596912,121.2239689
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,秋天吃火鍋,2015/9/21,第一次來吃石二鍋，有很多鍋底可選擇，也可選擇菜多或肉多，非常不錯，下次願意再來試試，如果可以再來個甜點就更完美,4,24.9596912,121.2239689
Tripadvisor,王品,hot 7,中壢中美店,桃園市中壢區中美路一段12號2樓,服務不錯,2015/9/20,桌上空盤收很快，醬料也提供很足。兒童椅使用後馬上清潔，感覺很乾淨。對小朋友也很親切，整體感覺很舒服。,5,24.9596912,121.2239689
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,餐點遺漏,2020/11/30,不是第一次到這裡用餐，因為過往印象不錯所以帶著長輩來吃，結果餐點上菜速度慢，甚至還遺漏，用餐結束後才發現4人份的青菜忘記上，長輩直接表明下次不會再光顧了！,2,25.037703,121.5061818
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,HOT7 鐵板燒,2020/7/8,訂位方便，食物和服務都不錯，但是有一點我覺得需要改進，就是裝著湯、飯和泡菜的木頭小托盤，服務生只用同一條毛巾噴酒精擦拭，沒有清洗，從我們開始吃到結束(一個小時)，都用同一條毛巾，我是覺得有點不衛生。,5,25.037703,121.5061818
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,大不如前,2020/5/27,餐點及服務很普通，冰飲未附杯墊，弄濕桌面，讓客人一直用紙巾擦拭，以王品集團的餐飲，為撙節成本而忽略的細節，不及格。,3,25.037703,121.5061818
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,整體表現,2020/4/15,1.雖然上次速度有點快，但還是可以接受的2.肉的軟度剛剛好，湯有點鹹3.其他服務都很好，感覺是舒服的，親切每位員工辛苦了,5,25.037703,121.5061818
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,好吃CP值高鐵板料理,2019/10/21,"很好吃的鐵板料理,採用套餐方式,份量很足夠。菜單會不定期更新產品,還有35%增量加肉.小朋友會免費送白飯還甜點銅鑼燒,一家人都很愛吃Hot 7",4,25.037703,121.5061818
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,適合幼幼親子家庭用餐的地點,2019/10/14,維持王品集團一貫的服務品質，除了必備的兒童餐具，也免費提供幼幼孩子飯食，減輕家長胃容量及錢包的負擔。不過，飯本來就可以免費續啊__餐點的部分就沒有太大驚喜，當然還是不錯吃，只是就會覺得：啊_王品集團的味道。,3,25.037703,121.5061818
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,美味平價的鐵板燒料理,2019/9/14,"CP值很高的鐵板燒料理,採套餐式的用餐方式,服務人員親切友善,對於小小朋友還有提供免費的飲料跟餐食,看起來套餐的內容很少,但每次用完餐都是非常的滿足,而且重點是它不貴.",5,25.037703,121.5061818
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,美味扺食,2019/7/1,好少鐵板餐會有菜，值得讚！飯和湯可添加，店員服務誠懇，如果係康是美會員，會有折扣coupon。建議可以先電話訂位，避免等候太耐。樓下係家樂福，住西門町的遊客較方便。,5,25.037703,121.5061818
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,餐點好吃環境好,2019/5/26,"更新菜單的Hot 7,選擇變得更豐富，還有加量版肉可以更多。飯改_香樁紅藜麥飯，小孩更喜歡，肉質依舊暖嫩好吃，甜點桂花銀耳清爽適合夏天",4,25.037703,121.5061818
Tripadvisor,王品,hot 7,台北家樂福桂林店,台北市萬華區桂林路1號4樓,CP值超高鐵板燒,2019/4/2,平價的鐵板燒，CP值超高，可以吃很飽，內容物跟王品集團的餐廳類似，完全不用怕吃不飽，精緻度當然有更好的，當然300的當然沒辦法跟1500的鐵板燒比，hot 7不錯,4,25.037703,121.5061818
Tripadvisor,王品,hot 7,捷運景美店,台北市文山區景中街1號2樓,CP值很高的鐵板燒餐廳,2019/3/28,CP值很高的鐵板燒餐廳，比起一般鐵板燒店店內，hot7少了油膩與煙味，服務與食材有保障， 一人一份套餐剛剛好，有小菜也有飲料，主菜的選擇也不少，推薦主菜的牛肩胛里肌山賊燒/嫩煎豚五花，還有必點的檸檬優酪冰鑽，王品旗下餐廳的配餐飲料都很好喝阿~,5,24.9931447,121.5414854
Tripadvisor,王品,hot 7,捷運景美店,台北市文山區景中街1號2樓,平價好吃的鐵板燒餐廳,2018/6/24,這次前往在景美捷運站樓上的分店，與家人用餐建議禮拜六別忘了先訂位，訂位時或到場代位服務人員態度普遍親切有禮，餐點從湯品、前菜、蔬食、到主餐、飯和飲料；一份套餐有六道餐點吃完非常飽足，費用只需299外加服務費10%，個人推薦櫻桃鴨，煎的鹹香肉脂肥美。四月去有搭配信用卡優惠；憑星展銀行刷卡滿千折120元。,4,24.9931447,121.5414854
Tripadvisor,王品,hot 7,捷運景美店,台北市文山區景中街1號2樓,美味健康的餐點,2018/1/28,餐廳位於熱鬧的街道大廈樓上，雖然只有一層樓的空間，但是擠滿了用餐人群，生意非常好。餐點食材很講究，品質好且吃完後很有飽足感。,4,24.9931447,121.5414854
Tripadvisor,王品,hot 7,台中金典綠園道店,台中市西區健行路1049號3樓,好吃划算,2020/6/22,店員與廚師服務親切，說明得宜，餐點美味新鮮，份量也十分足夠，飯可以續，加點的肉鬆蛋以及蝦子也非常新鮮好吃，會再回訪。,4,24.1557383,120.663261
